Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
australian,over_sample,bias,2Obj,0.851445086705202,1.24758085052203,0.937209302325581,1.07035464535465,86.09,0.0857642156203791
bupa,over_sample,bias,2Obj,0.61264367816092,1.38888888888889,0.936046511627907,1.17751221963263,68.90,0.323402833466988
glass1,over_sample,bias,2Obj,0.783333333333333,1.81578947368421,1,1.34530644793803,71.50,0.216666666666667
magic,over_sample,bias,2Obj,0.830241850683491,1.8438995215311,0.877812828601472,1.24329780728319,51.49,0.0475709779179812
phoneme,over_sample,bias,2Obj,0.860843819393042,2.40731399747793,0.913915618060696,1.58989033299029,58.41,0.0530717986676536
pima,over_sample,bias,2Obj,0.719791666666667,1.86567164179104,0.890625,1.29091075460541,72.16,0.170833333333333
segment0,over_sample,bias,2Obj,0.989428076256499,6.01952697708795,0.999306759098787,3.0262995653627,87.89,0.00987868284228788
sonar,over_sample,bias,2Obj,0.734615384615385,1.14455782312925,1,1.10280677655678,71.44,0.265384615384615
vehicle0,over_sample,bias,2Obj,0.925,3.26418181818182,0.991943127962085,1.88297276383483,80.78,0.0669431279620851
yeast1,over_sample,bias,2Obj,0.737196765498652,2.45761356226907,0.87978436657682,1.72801700927327,70.53,0.142587601078167
australian,over_sample,bias,3Obj,0.832947976878613,1.25490196078431,0.909883720930232,2.22020312034748,39.42,0.0769357440516196
bupa,over_sample,bias,3Obj,0.573563218390805,1.38888888888889,0.846511627906977,2.85978719554276,32.85,0.272948409516172
glass1,over_sample,bias,3Obj,0.777777777777778,1.81578947368421,0.89622641509434,1.60462788935203,42.62,0.118448637316562
magic,over_sample,bias,3Obj,0.832534174553102,1.8438995215311,0.855310199789695,1.03977272010473,44.03,0.0227760252365931
phoneme,over_sample,bias,3Obj,0.860695780903035,2.40731399747793,0.88919319022946,1.17458286044853,45.80,0.0284974093264249
pima,over_sample,bias,3Obj,0.728645833333333,1.86567164179104,0.845833333333333,1.46362003930261,43.54,0.1171875
segment0,over_sample,bias,3Obj,0.989601386481802,6.02805617147081,0.997920277296361,2.19594498283812,56.69,0.00831889081455817
sonar,over_sample,bias,3Obj,0.726923076923077,1.14897959183673,0.925,2.14262106056998,32.79,0.198076923076923
vehicle0,over_sample,bias,3Obj,0.92688679245283,3.25563636363636,0.975829383886256,1.24591480805075,49.53,0.0489425914334258
yeast1,over_sample,bias,3Obj,0.734770889487871,2.45600086937622,0.830458221024259,1.03347021509901,46.62,0.0956873315363881
australian,over_sample,bias,MinMajAcc,0.857803468208092,1.24465240641711,0.947674418604651,1.11329914408987,44.70,0.0898709503965588
bupa,over_sample,bias,MinMajAcc,0.601149425287356,1.38888888888889,0.937209302325581,1.36531765284717,48.14,0.336059877038225
glass1,over_sample,bias,MinMajAcc,0.777777777777778,1.81578947368421,0.928301886792453,1.40341289145637,49.16,0.150524109014675
magic,over_sample,bias,MinMajAcc,0.831083070452156,1.8438995215311,0.878443743427971,1.26519837052878,43.42,0.0473606729758149
phoneme,over_sample,bias,MinMajAcc,0.85780903034789,2.40731399747793,0.922723908216136,1.65549664169984,44.74,0.0649148778682458
pima,over_sample,bias,MinMajAcc,0.725,1.86567164179104,0.9171875,1.35315266745771,47.06,0.1921875
segment0,over_sample,bias,MinMajAcc,0.991681109185442,6.0109977827051,0.997920277296361,4.7697367284024,46.59,0.00623916811091863
sonar,over_sample,bias,MinMajAcc,0.763461538461539,1.15340136054422,0.976923076923077,1.11895489270053,47.31,0.213461538461538
vehicle0,over_sample,bias,MinMajAcc,0.937735849056604,3.25990909090909,0.991943127962085,2.85971857288123,46.88,0.0542072789054815
yeast1,over_sample,bias,MinMajAcc,0.74743935309973,2.46083894805477,0.885175202156334,1.76037230246189,45.90,0.137735849056604
australian,over_sample,rand,2Obj,0.841618497109827,1.24904507257448,0.93953488372093,1.37808553911598,85.19,0.0979163866111035
bupa,over_sample,rand,2Obj,0.588505747126437,1.38888888888889,1,1.38929127966976,75.00,0.411494252873563
glass1,over_sample,rand,2Obj,0.755555555555556,1.81578947368421,1,1.66880230880231,78.50,0.244444444444444
magic,over_sample,rand,2Obj,0.82950578338591,1.8438995215311,0.869737118822292,1.74586281426474,59.13,0.0402313354363829
phoneme,over_sample,rand,2Obj,0.861732050333087,2.40731399747793,0.912583271650629,2.19300772930247,63.54,0.0508512213175425
pima,over_sample,rand,2Obj,0.734895833333333,1.86567164179104,0.888020833333333,1.56258623627518,75.76,0.153125
segment0,over_sample,rand,2Obj,0.992027729636049,6.0109977827051,0.999306759098787,5.47552582436483,89.94,0.0072790294627384
sonar,over_sample,rand,2Obj,0.751923076923077,1.14013605442177,1,1.27204545454545,77.50,0.248076923076923
vehicle0,over_sample,rand,2Obj,0.933018867924528,3.25990909090909,0.989099526066351,2.08410051232251,78.01,0.0560806581418223
yeast1,over_sample,rand,2Obj,0.749865229110512,2.45600086937622,0.875471698113208,2.26807688846719,73.98,0.125606469002695
australian,over_sample,rand,3Obj,0.838150289017341,1.24904507257448,0.909883720930233,1.95104588587154,44.35,0.0717334319128915
bupa,over_sample,rand,3Obj,0.613793103448276,1.38888888888889,0.832558139534884,3.84090433703501,37.38,0.218765036086608
glass1,over_sample,rand,3Obj,0.724074074074074,1.81578947368421,0.930188679245283,1.5978302764487,43.27,0.206114605171209
magic,over_sample,rand,3Obj,0.831209253417455,1.8438995215311,0.855120925341746,1.32520028348561,50.85,0.0239116719242902
phoneme,over_sample,rand,3Obj,0.860695780903035,2.40731399747793,0.888675055514434,1.36796144305433,51.80,0.0279792746113987
pima,over_sample,rand,3Obj,0.736979166666667,1.86567164179104,0.849479166666667,1.3087923906183,46.17,0.1125
segment0,over_sample,rand,3Obj,0.989601386481803,6.01526237989653,0.998266897746967,2.1603842869942,58.03,0.00866551126516468
sonar,over_sample,rand,3Obj,0.746153846153846,1.14013605442177,0.928846153846154,2.43989670589129,36.92,0.182692307692308
vehicle0,over_sample,rand,3Obj,0.925471698113208,3.24709090909091,0.974881516587678,1.35269362116057,52.84,0.0494098184744702
yeast1,over_sample,rand,3Obj,0.735579514824798,2.45922625516192,0.837735849056604,1.20340859259169,50.53,0.102156334231806
australian,over_sample,rand,MinMajAcc,0.836416184971098,1.24465240641711,0.947674418604651,1.29259126686516,51.39,0.111258233633553
