Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
australian,over_sample,bias,2Obj,0.8514450867052024,1.2475808505220267,0.8369942196531792,1.0703546453546453,86.08695652173914,-0.014450867052023142
bupa,over_sample,bias,2Obj,0.6126436781609195,1.3888888888888888,0.5862068965517242,1.1775122196326315,68.8953488372093,-0.02643678160919527
glass1,over_sample,bias,2Obj,0.7833333333333333,1.815789473684211,0.7351851851851852,1.3453064479380268,71.49532710280373,-0.04814814814814816
magic,over_sample,bias,2Obj,0.830241850683491,1.8438995215311003,0.8282018927444795,1.243297807283191,51.48685594111462,-0.002039957939011461
phoneme,over_sample,bias,2Obj,0.8608438193930423,2.407313997477932,0.8532198371576609,1.5898903329902896,58.40858623242043,-0.00762398223538141
pima,over_sample,bias,2Obj,0.7197916666666666,1.8656716417910448,0.7114583333333334,1.290910754605408,72.16145833333333,-0.008333333333333193
segment0,over_sample,bias,2Obj,0.9894280762564991,6.019526977087953,0.9842287694974002,3.026299565362699,87.88561525129982,-0.005199306759098854
sonar,over_sample,bias,2Obj,0.7346153846153846,1.1445578231292515,0.698076923076923,1.1028067765567766,71.4423076923077,-0.03653846153846152
vehicle0,over_sample,bias,2Obj,0.925,3.264181818181818,0.8938679245283019,1.882972763834833,80.78014184397163,-0.031132075471698162
yeast1,over_sample,bias,2Obj,0.7371967654986522,2.457613562269072,0.737466307277628,1.7280170092732674,70.5256064690027,0.00026954177897575704
australian,over_sample,bias,3Obj,0.8329479768786128,1.2549019607843135,0.8289017341040463,1.600008569275472,51.50724637681159,-0.004046242774566444
bupa,over_sample,bias,3Obj,0.5735632183908046,1.3888888888888888,0.603448275862069,2.2897402597402596,58.837209302325576,0.029885057471264354
glass1,over_sample,bias,3Obj,0.7777777777777779,1.815789473684211,0.7314814814814814,1.2684896805034105,59.719626168224295,-0.0462962962962965
magic,over_sample,bias,3Obj,0.832534174553102,1.8438995215311003,0.8267928496319662,1.066796466574044,46.21661409043112,-0.005741324921135771
phoneme,over_sample,bias,3Obj,0.8606957809030348,2.407313997477932,0.8452257586972612,1.273858178536869,49.21169504071058,-0.015470022205773537
pima,over_sample,bias,3Obj,0.7286458333333333,1.8656716417910448,0.7057291666666667,1.2562452214101543,55.859375,-0.022916666666666585
segment0,over_sample,bias,3Obj,0.9896013864818023,6.028056171470806,0.980589254766031,1.8702716030468078,66.55979202772963,-0.00901213171577131
sonar,over_sample,bias,3Obj,0.726923076923077,1.1489795918367345,0.7346153846153847,1.8992842349678463,45.76923076923077,0.007692307692307665
vehicle0,over_sample,bias,3Obj,0.9268867924528301,3.2556363636363637,0.9089622641509434,1.331954763682705,59.76359338061466,-0.017924528301886733
yeast1,over_sample,bias,3Obj,0.7347708894878707,2.456000869376222,0.711590296495957,1.099087773629894,56.30727762803234,-0.023180592991913773
australian,over_sample,bias,MinMajAcc,0.8578034682080924,1.2446524064171123,0.8595375722543352,1.0759055377644908,44.8695652173913,0.001734104046242857
bupa,over_sample,bias,MinMajAcc,0.6011494252873563,1.3888888888888888,0.6,1.2853436062582404,48.43023255813954,-0.0011494252873562871
glass1,over_sample,bias,MinMajAcc,0.7777777777777778,1.815789473684211,0.7481481481481482,1.6009986787864026,48.31775700934579,-0.02962962962962956
magic,over_sample,bias,MinMajAcc,0.8310830704521557,1.8438995215311003,0.833080967402734,1.317938960360245,42.99369085173502,0.0019978969505782818
phoneme,over_sample,bias,MinMajAcc,0.8578090303478904,2.407313997477932,0.8553663952627684,1.8341845403554404,43.51591413767579,-0.0024426350851219913
pima,over_sample,bias,MinMajAcc,0.7250000000000001,1.8656716417910448,0.7177083333333333,1.5060395808250475,46.77083333333333,-0.007291666666666807
segment0,over_sample,bias,MinMajAcc,0.9916811091854421,6.0109977827050995,0.9916811091854421,4.7697367284024,46.585788561525135,0.0
sonar,over_sample,bias,MinMajAcc,0.7634615384615385,1.1534013605442177,0.7788461538461539,1.1185133831685559,46.730769230769226,0.01538461538461533
vehicle0,over_sample,bias,MinMajAcc,0.9377358490566037,3.2599090909090913,0.9245283018867925,2.8436868437769895,47.895981087470446,-0.013207547169811207
yeast1,over_sample,bias,MinMajAcc,0.7474393530997304,2.4608389480547705,0.7377358490566037,2.0228284941211987,45.16172506738545,-0.009703504043126698
australian,over_sample,rand,2Obj,0.8416184971098266,1.2490450725744842,0.8352601156069364,1.378085539115982,85.18840579710144,-0.0063583815028902535
bupa,over_sample,rand,2Obj,0.5885057471264369,1.3888888888888888,0.6068965517241379,1.3892912796697625,75.0,0.018390804597701038
glass1,over_sample,rand,2Obj,0.7555555555555555,1.815789473684211,0.7092592592592593,1.6688023088023087,78.50467289719626,-0.04629629629629628
magic,over_sample,rand,2Obj,0.8295057833859095,1.8438995215311003,0.8275499474237644,1.745862814264735,59.12828601472135,-0.0019558359621451027
