,Num Features,Num Examples,Training Size,Minority Class,Base - Test C0 Acc,Base - Test C1 Acc,Base - Test Acc,Base - Val C0 Acc,Base - Val C1 Acc,Base - Val Acc,Optimized - Test C0 Acc,Optimized - Test C1 Acc,Optimized - Test Acc,Num Examples for Test Best,Optimized - Val C0 Acc,Optimized - Val C1 Acc,Optimized - Val Acc,Num Examples for Val Best,Baseline IR,Optimized IR,Label
0,9.0,214.0,145.0,0.0,77.715,69.473,74.81499999999998,74.706,66.842,71.88600000000001,80.284,68.94699999999999,76.297,77.1,93.237,95.263,93.96300000000001,0.06764705882352942,1.1014,1.22072,OverUnderSample-MinMajAcc-Bias-glass1
1,10.0,5472.0,3015.3,1.0,97.908,84.264,96.514,97.859,83.272,96.366,97.65600000000002,85.05000000000001,96.368,1607.8,98.575,92.994,98.005,0.014249687916608144,4.39795,3.32977,OverUnderSample-MinMajAcc-Bias-page-blocks0
2,8.0,768.0,518.0,0.0,73.44,68.955,71.874,74.4,65.671,71.35499999999999,77.84,60.746,71.87599999999999,284.3,91.52000000000001,87.761,90.21000000000001,0.08480000000000001,1.0719999999999998,1.33854,OverUnderSample-MinMajAcc-Bias-pima
3,19.0,2308.0,1318.8,1.0,98.66600000000001,97.93299999999999,98.562,98.58599999999998,98.41400000000002,98.561,98.828,97.444,98.63,732.8,99.73899999999999,99.38999999999999,99.68700000000001,0.002626262626262643,3.00126,2.45325,OverUnderSample-MinMajAcc-Bias-segment0
4,18.0,846.0,522.6,1.0,92.037,89.6,91.46099999999998,91.95799999999998,89.699,91.423,90.86200000000001,90.2,90.708,295.2,97.33899999999998,99.8,97.91400000000002,0.02660838892722951,1.6235600000000001,1.4770600000000003,OverUnderSample-MinMajAcc-Bias-vehicle0
5,8.0,1484.0,956.3,1.0,78.589,56.226,72.10299999999998,76.088,62.741,72.237,71.40899999999999,68.957,70.701,546.0,80.59599999999999,93.09,84.20500000000001,0.19403157045742597,1.2312,1.0928200000000001,OverUnderSample-MinMajAcc-Bias-yeast1
6,9.0,214.0,145.0,0.0,75.143,71.578,73.889,72.06,70.525,71.51,70.0,73.684,71.29599999999999,69.2,85.295,97.36800000000001,89.62300000000002,0.14705882352941177,1.1014,1.21282,OverUnderSample-MinMajAcc-Rand-glass1
7,10.0,5472.0,3015.6,1.0,97.957,84.20000000000002,96.551,98.022,84.583,96.65300000000002,98.045,84.199,96.631,1506.7,99.07300000000001,92.33,98.38499999999999,0.0092796108167706,4.3927,4.47847,OverUnderSample-MinMajAcc-Rand-page-blocks0
8,8.0,768.0,518.0,0.0,73.68,63.582000000000015,70.15599999999999,73.03999999999999,65.522,70.41600000000001,72.16,67.761,70.626,246.7,84.48,94.029,87.81299999999999,0.1552,1.0719999999999998,1.0775400000000002,OverUnderSample-MinMajAcc-Rand-pima
9,19.0,2308.0,1318.5,1.0,99.131,96.842,98.802,98.96900000000002,97.43800000000002,98.753,99.13199999999999,97.7,98.92600000000002,668.8,99.75999999999999,99.38999999999999,99.706,0.00242424242424244,3.00765,3.3282,OverUnderSample-MinMajAcc-Rand-segment0
10,18.0,846.0,522.7,1.0,93.39500000000001,89.0,92.35799999999999,92.578,90.06700000000002,91.99000000000002,93.95100000000001,86.0,92.07600000000001,263.0,98.88699999999999,99.4,99.006,0.011137949543746662,1.62142,1.9767299999999999,OverUnderSample-MinMajAcc-Rand-vehicle0
11,8.0,1484.0,956.6,1.0,77.445,58.76100000000001,72.04799999999999,76.87899999999999,59.802,71.94000000000001,73.841,65.00800000000001,71.293,470.8,84.838,89.55300000000001,86.19800000000001,0.15163325267888003,1.2288000000000001,1.29161,OverUnderSample-MinMajAcc-Rand-yeast1
12,9.0,214.0,145.0,0.0,77.43,66.841,73.703,77.942,68.94500000000001,74.718,75.142,58.42099999999999,69.25999999999999,21.3,96.76599999999999,93.684,95.661,27.6,1.1014,1.3184400000000003,OverUnderSample-2Obj-Bias-glass1
13,10.0,5472.0,3015.5,1.0,98.09499999999998,82.46300000000001,96.499,97.925,82.546,96.35300000000001,97.91699999999999,83.39399999999998,96.434,966.0,98.98299999999999,90.274,98.09200000000001,990.3,4.39445,2.7068800000000004,OverUnderSample-2Obj-Bias-page-blocks0
14,8.0,768.0,518.0,0.0,73.03999999999999,66.56700000000001,70.78099999999999,74.08000000000001,66.41799999999998,71.405,80.8,54.029999999999994,71.46000000000001,91.5,96.00000000000001,79.402,90.208,137.9,1.0719999999999998,1.5375599999999998,OverUnderSample-2Obj-Bias-pima
15,19.0,2308.0,1318.7,1.0,98.89000000000001,98.05499999999998,98.76800000000001,98.97099999999999,96.95000000000002,98.681,97.79600000000002,97.936,97.816,213.7,99.86,100.0,99.878,218.6,3.00339,1.8026799999999998,OverUnderSample-2Obj-Bias-segment0
16,18.0,846.0,522.4,1.0,92.96300000000001,91.8,92.68799999999999,93.36900000000001,89.923,92.559,91.051,83.0,89.15099999999998,72.8,98.94699999999999,99.796,99.148,92.9,1.6278400000000002,1.26435,OverUnderSample-2Obj-Bias-vehicle0
17,8.0,1484.0,956.5,1.0,79.153,56.34499999999999,72.559,75.921,56.661000000000016,70.35,77.17899999999999,62.407999999999994,72.91,278.7,88.471,80.72200000000001,86.224,335.8,1.2296,1.0879400000000001,OverUnderSample-2Obj-Bias-yeast1
18,9.0,214.0,145.0,0.0,77.71400000000001,67.367,74.075,76.47,67.365,73.20700000000001,78.57000000000001,57.89399999999999,71.29700000000001,18.7,95.88399999999999,87.894,93.01800000000001,31.0,1.1014,1.2190999999999999,OverUnderSample-2Obj-Rand-glass1
